Front,Back,Mnemonic,Source
"What is wrong with using assert!() in an Anchor instruction?","assert!() panics the program and returns a generic ProgramError to the client — no error code, no message, no context. Use require!() instead to return a typed AnchorError with a code name and message the client can inspect.","assert! = fire alarm with no address. require! = fire alarm that says which room and why.","session 2026-03-24-d / Anchor docs"
"Where do you place #[error_code] in an Anchor program?","OUTSIDE the #[program] module — at the top level of the file, alongside your account structs. Placing it inside the module causes a compile error.","Error enum lives outside — like a list of house rules posted outside the kitchen, not inside it.","session 2026-03-24-d"
"What does require!(condition, ErrorVariant) expand to?","require!(x, E::Variant) is shorthand for: if !x { return Err(E::Variant.into()); }  — it returns an Err early if the condition is false, like a guard clause.","require! = bouncer macro: fails the condition → throws the guest out immediately.","session 2026-03-24-d"
"What is the try/catch sentinel pattern for testing expected failures in Anchor?","Wrap .rpc() in try/catch. Immediately after .rpc() inside the try block, throw new Error('Expected tx to fail but it succeeded'). In catch, check err.error?.errorCode?.code === 'YourErrorName' and return if it matches, otherwise re-throw. The sentinel line ensures a successful tx fails the test.","The sentinel is a tripwire: if the tx sneaks through, it trips the wire and the test fails.","session 2026-03-24-d"
"How do you read the Anchor error code name from a caught error in TypeScript?","err.error?.errorCode?.code — this is the string name of your #[error_code] enum variant (e.g. 'Underflow'). Use optional chaining because non-Anchor errors won't have this field.","err.error.errorCode.code — three levels deep, like unpacking a Russian doll: error → errorCode → code.","session 2026-03-24-d"
"What constraints are needed on a PDA account in the init struct?","init, payer = user, space = 8 + fields, seeds = [...], bump — Anchor finds the canonical bump automatically during init.","IPSB: Init Payer Space Bump+Seeds. Like setting up a new mailbox: pick the location (seeds), pay for it (payer), size it right (space).","session 2026-03-24-d / rareskills.io/solana-tutorial"
"What constraints are needed on a PDA account in a lookup (non-init) struct?","mut, seeds = [...], bump = account.bump — Anchor re-derives the PDA using stored bump to verify the address. Also need the user account in the struct since their key is part of the seed.","Lookup = verify the mailbox is real: re-derive from same seeds + stored bump. No creation, just checking.","session 2026-03-24-d / rareskills.io/solana-tutorial"
"How do you get the canonical bump at init time in an Anchor instruction?","ctx.bumps.counter — Anchor computes the bump during init and exposes it on ctx.bumps keyed by the account field name. Save it: ctx.accounts.counter.bump = ctx.bumps.counter","ctx.bumps = Anchor's bump report card. After creating the PDA, Anchor hands you a slip: 'here's the bump I used.' Save it or you'll never find the locker again.","session 2026-03-24-d"
"Common mistake: using Keypair.generate() for the wallet when deriving a PDA in tests. What goes wrong?","The PDA is derived from the random keypair's public key, but the program creates the PDA using the actual provider wallet (the transaction signer). The two addresses don't match → AccountNotInitialized error. Fix: use anchor.AnchorProvider.env().wallet as the wallet.","You give the locker number calculated for key A, but the lock was built for key B. It doesn't open. Always use the real wallet key.","session 2026-03-24-d"
"What is the difference between AccountNotInitialized (3012) and AccountDidNotDeserialize (3003) in Anchor?","AccountNotInitialized (3012) = the account address doesn't exist on-chain at all — usually wrong PDA derivation or wrong seeds. AccountDidNotDeserialize (3003) = the account was found but its byte layout doesn't match the struct — almost always a space mismatch (forgot to update space after adding a field).","3012 = wrong address (ghost account). 3003 = right address, wrong shape (found the box but it's the wrong size).","session 2026-03-24-d"
