Front,Back,Mnemonic,Source
"In Ethereum, where does a contract's data live?","In the contract's own storage, at the contract's address. Code and data are fused together.","OOP analogy: contract = class, storage = instance variables","rareskills.io/solana-tutorial"
"In Solana, where does a program's data live?","In separate accounts — NOT in the program account itself. The program account holds only bytecode (executable=true).","Unix analogy: program = /usr/bin/ls (binary), data = files it operates on","rareskills.io/solana-tutorial"
"What are the 6 fields of a Solana account?","key (address), lamports (SOL balance), data (byte storage), owner (which program controls it), executable (is it a program?), rent_epoch (legacy)","KLODRE: Key, Lamports, Owner, Data, Rent, Executable","rareskills.io/solana-tutorial"
"What does the `owner` field of a Solana account control?","Only the owner program can modify an account's `data` and `lamports`. Anyone can read; only owner can write.","Owner = landlord. Only landlord can modify the apartment.","rareskills.io/solana-tutorial"
"What is a Solana program?","An account where executable=true. Its data field holds compiled BPF bytecode. It is stateless — stores nothing itself.","A program is a pure function. You hand it accounts, it mutates them, returns.","rareskills.io/solana-tutorial"
"Why does Solana require all accounts to be declared upfront in a transaction?","So the runtime can detect conflicts and schedule non-conflicting transactions in parallel. Tx1=[A,B] + Tx2=[C,D] → parallel. Tx1=[A,B] + Tx2=[B,C] → sequential (B conflict).","Air traffic control: declare your flight path so the tower can route planes without collisions.","rareskills.io/solana-tutorial"
"What does `is_signer: true` mean on an account in a transaction?","The transaction was cryptographically signed by the private key matching that account's public key. The runtime verifies this before execution.","is_signer = 'I authorize this' stamp. No stamp = rejected at the door.","solana.com/docs/intro/quick-start"
"What does `is_writable: true` mean on an account in a transaction?","The runtime allows that account's data and lamports to be modified during execution. If false, any attempt to write to it fails before the program even runs.","is_writable = mutable reference. false = const/read-only reference.","solana.com/docs/intro/quick-start"
"What is the System Program and what makes it special?","A native program baked into the Solana runtime (address: 111...111). It is the ONLY program that can create new accounts and assign ownership. All regular wallet accounts are owned by it.","System Program = OS kernel. Everyone else is userspace.","rareskills.io/solana-tutorial"
"Who owns a regular Solana wallet account?","The System Program (111...111) — not the user. The user's public key is the account's ADDRESS (key field), not its owner.","Your address is your name on the mailbox. System Program owns the building.","rareskills.io/solana-tutorial"
"A malicious program tries to deduct SOL from your wallet. Why does it fail?","Your wallet is owned by the System Program. The System Program only executes transfers if your wallet is marked is_signer=true, meaning the tx must be signed by your private key. The malicious program can't forge your signature.","No key, no entry. The System Program is the bouncer checking signatures.","rareskills.io/solana-tutorial"
"What is Solana's equivalent of Ethereum Account Abstraction (AA)?","Custom wallet programs (e.g. Squads multisig) where a user-deployed program owns the wallet account instead of the System Program. The program defines its own authorization logic.","AA = programmable bouncer. You write the rules for who gets in.","rareskills.io/solana-tutorial"
