#separator:semicolon
#html:false
#notetype:Basic
#deck:AI-Security::L6-Supply-Chain

What happens when you call torch.load("model.pt") on a file created by an untrusted source?;Pickle deserializes the file and calls whatever callable the __reduce__ method specifies — including os.system() or any shell command. This is RCE with the OS permissions of the calling process. The vulnerability is not in PyTorch — it's in the pickle format. torch.load() is safe only when YOU created the file. Mnemonic: Loading = Executing. The file is not data. It is code.;AI-Security::L6::pickle::cause-effect

GOTCHA — "torch.load() is just reading a weights file — it cannot execute code." Is this correct?;No. torch.load() uses pickle under the hood. Pickle has a __reduce__ hook that can return ANY callable — including os.system or subprocess.run. Whoever created the file controls what runs when you load it. Why common: developers expect file reads to be passive. Pickle is not passive — it runs reconstruction logic embedded by the file author.;AI-Security::L6::pickle::gotcha

What does SafeTensors store — and why does that eliminate the pickle RCE risk?;SafeTensors stores only: raw tensor bytes + a metadata header (shape dtype byte offsets). No callable. No __reduce__ hook. No execution path. Loading a SafeTensors file reads data only — like reading a JSON file. The format has no concept of "call this function" so RCE is structurally impossible at the format level. Mnemonic: SafeTensors = view function. Pickle = external call.;AI-Security::L6::safetensors::definition

What does torch.load(path weights_only=True) do — and why is it not a full fix?;Restricts pickle to deserializing only safe types: tensors, numbers, strings. Blocks arbitrary callables like os.system. Partial fix only: still uses pickle protocol underneath. Not equivalent to SafeTensors because: (1) still uses pickle — future vulnerabilities may bypass the restriction (2) relies on PyTorch's allowlist staying up to date. Full fix: migrate to SafeTensors format. Mnemonic: weights_only = guardrails on a dangerous road. SafeTensors = a safe road.;AI-Security::L6::pickle::weights-only-partial

GOTCHA — "We migrated to SafeTensors — we can remove SHA256 checksum verification now." Is this correct?;No. SafeTensors eliminates RCE risk (code execution during load). SHA256 checksum verifies file authenticity — that the downloaded file matches what the publisher signed. A MITM attack, compromised registry, or corrupted download can swap a legitimate SafeTensors file with a different one. SafeTensors does not prove identity. Two separate threats: format safety vs file authenticity. Mnemonic: SafeTensors = safe to run. SHA256 = right file to run.;AI-Security::L6::integrity-check::gotcha

A model is downloaded to /tmp/model.pt then loaded with torch.load("/tmp/model.pt"). What attack vector exists beyond pickle RCE?;TOCTOU — Time-of-Check-to-Time-of-Use race condition. /tmp/ is world-writable — any process on the system can replace the file between the download step and the torch.load() step. Attacker swaps the legitimate file with a malicious one in that window. Fix: download to a directory with restricted permissions + verify SHA256 hash immediately after write before loading. Web3 bridge: like checking msg.sender then doing a state change — another tx slips between check and effect.;AI-Security::L6::toctou::cause-effect

Why is pickle.load() on a public HuggingFace community repo file CRITICAL — higher than torch.load() from an internal registry?;Two compounding factors: (1) Source trust: internal registry has access controls; public HuggingFace community = anyone on the internet can upload. (2) Loader: raw pickle.load() has no mitigation path — torch.load() at least allows weights_only=True as a patch. Completely untrusted source + no partial mitigation available = CRITICAL. Internal registry with torch.load() = HIGH (still bad but source has some control).;AI-Security::L6::community-model::severity

What are the 5 audit checks for an ML model loading pipeline?;1. Format audit — grep for torch.load( without weights_only=True. 2. Source audit — model from pinned hash-verified source? 3. Dependency audit — ML framework deps pinned with exact versions? 4. Layer audit — custom model layers reviewed before deployment? 5. Isolation — model loading in sandboxed process? Mnemonic: FSDLI — Format Source Dependency Layer Isolation. Story: "For Secure Deployments Load In isolation.";AI-Security::L6::supply-chain-audit::checklist

Security check: model = torch.load(registry.download("cardiology-v2.pt")) — what are the findings and severity?;Finding 1 CRITICAL: torch.load() without weights_only=True — pickle RCE. Attacker controlling the .pt file embeds __reduce__ code that executes at load time with OS permissions. Finding 2 HIGH: No SHA256 integrity check — tampered file accepted silently. Finding 3 MEDIUM: .pt format used — SafeTensors not adopted (weights_only=True is partial fix only). Fix: verify SHA256 before load + migrate to SafeTensors or add weights_only=True as interim patch.;AI-Security::L6::audit-finding::security-check

What is a TOCTOU attack in an ML model loading pipeline — and how does it bypass a SHA256 hash check?;TOCTOU = Time-of-Check-to-Time-of-Use race condition. If the model is downloaded to /tmp/ (world-writable), an attacker with local access can swap the file BETWEEN verify_hash() and torch.load(). The hash check passes (file was legitimate at check time). The malicious file loads (swap happened after check). Fix: download to a restricted-permission directory + ideally load directly from memory without writing to disk. Web3 bridge: like checking msg.sender then doing state change — another tx slips in between.;AI-Security::L6::toctou::gotcha

What is the difference between a semantic backdoor and a composite backdoor — and which detection tool catches each?;Semantic backdoor: single natural feature as trigger (e.g. specific glasses style). Composite backdoor: MULTIPLE conditions must be true simultaneously (e.g. glasses AND indoors). Key difference: composite never fires on single-condition tests — automated scanning misses it entirely. Detection: Activation Clustering catches neither (both blend into normal activations). Neural Cleanse is the right tool for both — it reverse-engineers trigger patterns including multi-condition conjunctions. Spectral Signatures = label-flipping/data poisoning detection (not backdoor triggers). Mnemonic: Composite = AND gate. Semantic = OR gate. Neural Cleanse finds the gate.;AI-Security::L4::backdoor::composite-vs-semantic
